Lot #,Shape,Color,Clarity,Weight,Lab,Cut Grade,Polish,Symmetry,Fluor,Rapaport Price,% Off RAP,Price/Ct,Certificate #,Length,Width,Depth,Depth %,Table %,Gridle,Culet,Description/Comments,Origin,Measurement,Certificate Image,Video Link
2000072604,ROUND,E,VVS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2800,83,476,LG468173875,4.4,4.43,2.7,61.1,58.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.4x4.43x2.7,https://s3.amazonaws.com/lgdcertificates/LG468173875.pdf,https://s3.amazonaws.com/lgdvideos/LG468173875.html
2000077192,ROUND,E,VVS2,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,None,2600,83,442,LG455007820,4.44,4.46,2.71,60.9,58,TN-MDFC,POINTED,MISC,LAB CREATED,4.44x4.46x2.71,https://s3.amazonaws.com/lgdcertificates/LG455007820.pdf,https://s3.amazonaws.com/lgdvideos/LG455007820.html
2000056197,ROUND,E,VVS2,0.32,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG464196953,4.39,4.41,2.75,62.5,56.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.39x4.41x2.75,https://s3.amazonaws.com/lgdcertificates/LG464196953.pdf,https://s3.amazonaws.com/lgdvideos/LG464196953.html
2000070726,ROUND,E,VVS2,0.32,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG468173756,4.37,4.4,2.73,62.2,59,Medium (Faceted),Pointed,MISC,LAB CREATED,4.37x4.4x2.73,https://s3.amazonaws.com/lgdcertificates/LG468173756.pdf,https://s3.amazonaws.com/lgdvideos/LG468173756.html
2000072606,ROUND,E,VVS2,0.32,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG468173874,4.42,4.44,2.7,61,60,Medium (Faceted),Pointed,MISC,LAB CREATED,4.42x4.44x2.7,https://s3.amazonaws.com/lgdcertificates/LG468173874.pdf,https://s3.amazonaws.com/lgdvideos/LG468173874.html
2000076651,ROUND,E,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG464196591,4.44,4.46,2.68,60.3,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.44x4.46x2.68,https://s3.amazonaws.com/lgdcertificates/LG464196591.pdf,https://s3.amazonaws.com/lgdvideos/LG464196591.html
2000070681,ROUND,E,VS1,0.32,IGI,Excellent,Excellent,Excellent,NONE,2400,83,408,LG468173760,4.44,4.47,2.7,60.5,60,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.44x4.47x2.7,https://s3.amazonaws.com/lgdcertificates/LG468173760.pdf,https://s3.amazonaws.com/lgdvideos/LG468173760.html
2000070885,ROUND,E,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG468173858,4.4,4.43,2.72,61.6,57.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.4x4.43x2.72,https://s3.amazonaws.com/lgdcertificates/LG468173858.pdf,https://s3.amazonaws.com/lgdvideos/LG468173858.html
2000070910,ROUND,E,VS2,0.32,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG468173770,4.42,4.44,2.73,61.5,58.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.42x4.44x2.73,https://s3.amazonaws.com/lgdcertificates/LG468173770.pdf,https://s3.amazonaws.com/lgdvideos/LG468173770.html
2000019786,ROUND,E,VS2,0.32,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG468175553,4.39,4.44,2.69,60.8,57,Medium (Faceted),Pointed,MISC,LAB CREATED,4.39x4.44x2.69,https://s3.amazonaws.com/lgdcertificates/LG468175553.pdf,https://s3.amazonaws.com/lgdvideos/LG468175553.html
2000049601,ROUND,E,SI2,0.32,IGI,EXCELLENT,EXCELLENT,VERY GOOD,NONE,1800,82.25,319.5,LG407920274,4.38,4.41,2.75,0,57.5,MD-STKFC,POINTED,MISC,LAB CREATED,4.38x4.41x2.75,https://s3.amazonaws.com/lgdcertificates/LG407920274.pdf,https://s3.amazonaws.com/lgdvideos/LG407920274.html
2000077200,ROUND,F,VS1,0.32,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG455007153,4.47,4.52,2.67,59.6,58.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.47x4.52x2.67,https://s3.amazonaws.com/lgdcertificates/LG455007153.pdf,https://s3.amazonaws.com/lgdvideos/LG455007153.html
9000072430,ROUND,F,I1,0.32,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,1300,80,260,263410064,4.35,4.37,2.69,61.7,60,MDSTK,NONE,MISC,LAB CREATED,4.35x4.37x2.69,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL263410064.pdf,
