Lot #,Shape,Color,Clarity,Weight,Lab,Cut Grade,Polish,Symmetry,Fluor,Rapaport Price,% Off RAP,Price/Ct,Certificate #,Length,Width,Depth,Depth %,Table %,Gridle,Culet,Description/Comments,Origin,Measurement,Certificate Image,Video Link
4000224738,ROUND,J,SI1,0.62,IGI,EXCELLENT,EXCELLENT,EXCELLENT,NONE,2200,82,396,LG204669698,5.41,5.45,3.42,63,59,MDPTFC,POINTED,MISC,LAB CREATED,5.41x5.45x3.42,https://s3.amazonaws.com/lgdcertificates/LG204669698.pdf,
9000082063,ROUND,K-FAINT BROWN,VVS2,0.62,IGI,Ideal,Excellent,Very Good,NONE,2200,83,374,LG250675059,5.47,5.51,3.36,61.3,58,MEDIUM,POINTED,MISC,LAB CREATED,5.47x5.51x3.36,https://s3.amazonaws.com/lgdcertificates/LG250675059.pdf,https://s3.amazonaws.com/lgdvideos/LG250675059.html
4000204356,ROUND,K-FAINT BROWN,SI1,0.62,IGI,EXCELLENT,EXCELLENT,EXCELLENT,NONE,1900,82,342,LG196595512,5.52,5.55,3.35,61,61,MD,POINTED,MISC,LAB CREATED,5.52x5.55x3.35,https://s3.amazonaws.com/lgdcertificates/LG196595512.pdf,
5000007057,ROUND,Light Brown,VS1,0.62,GCAL,Very Good,Excellent,Excellent,NONE,0,0,230,252170027,5.42,5.46,3.39,62,57,THIN - SL.THICK,NONE,MISC,LAB CREATED,5.42x5.46x3.39,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170027.pdf,https://s3.amazonaws.com/lgdvideos/252170027.html
5000007050,ROUND,Light Brown,VS1,0.62,GCAL,Good,Excellent,Very Good,NONE,0,0,230,252170034,5.38,5.41,3.44,64,56,THIN - SL.THICK,NONE,MISC,LAB CREATED,5.38x5.41x3.44,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170034.pdf,https://s3.amazonaws.com/lgdvideos/252170034.html
2000086565,ROUND,E,VS1,0.63,IGI,Ideal,Excellent,Excellent,NONE,4300,83,731,LG470150419,5.5,5.53,3.4,61.7,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,5.5x5.53x3.4,https://s3.amazonaws.com/lgdcertificates/LG470150419.pdf,https://s3.amazonaws.com/lgdvideos/LG470150419.html
6100412836,ROUND,F,VVS2,0.63,IGI,Ideal,Excellent,Excellent,NONE,4300,83,731,LG468174145,5.49,5.52,3.37,61.3,59,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.49x5.52x3.37,https://s3.amazonaws.com/lgdcertificates/LG468174145.pdf,https://s3.amazonaws.com/lgdvideos/LG468174145.html
2000082998,ROUND,F,VS2,0.63,IGI,Ideal,Very Good,Excellent,NONE,3800,83,646,LG455010349,5.5,5.52,3.42,62,57,Medium (Faceted),Pointed,MISC,LAB CREATED,5.5x5.52x3.42,https://s3.amazonaws.com/lgdcertificates/LG455010349.pdf,https://s3.amazonaws.com/lgdvideos/LG455010349.html
6100408931,ROUND,G,VS2,0.63,IGI,Ideal,Excellent,Very Good,NONE,3700,83,629,LG464197049,5.45,5.51,3.42,62.3,56.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.45x5.51x3.42,https://s3.amazonaws.com/lgdcertificates/LG464197049.pdf,https://s3.amazonaws.com/lgdvideos/LG464197049.html
6100211670,ROUND,I,VVS1,0.63,IGI,Ideal,Excellent,Excellent,NONE,3200,83,544,LG464196993,5.49,5.51,3.39,61.7,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.49x5.51x3.39,https://s3.amazonaws.com/lgdcertificates/LG464196993.pdf,https://s3.amazonaws.com/lgdvideos/LG464196993.html
6100211598,ROUND,I,VVS2,0.63,IGI,Excellent,Excellent,Excellent,NONE,3100,83,527,LG464196900,5.48,5.51,3.45,62.6,57.5,Medium (Faceted),Pointed,MISC,LAB CREATED,5.48x5.51x3.45,https://s3.amazonaws.com/lgdcertificates/LG464196900.pdf,https://s3.amazonaws.com/lgdvideos/LG464196900.html
6100263864,ROUND,K,SI1,0.63,GSI,IDEAL,VERY GOOD,VERY GOOD,None,1900,82,342,70211700106,5.5,5.47,3.39,61.8,58,TNFC,None,MISC,LAB CREATED,5.50x5.47x3.39,https://s3.amazonaws.com/lgdcertificates/70211700106.pdf,
4000158639,ROUND,K-FAINT BROWN,SI2,0.63,IGI,EXCELLENT,VERY GOOD,EXCELLENT,NONE,1800,82.25,319.5,LG10251902,5.38,5.43,3.43,64,58,MD-STK,NONE,MISC,LAB CREATED,5.38x5.43x3.43,https://s3.amazonaws.com/lgdcertificates/LG10251902.pdf,
5000007930,ROUND,K-FAINT BROWN,SI2,0.63,IGI,EXCELLENT,EXCELLENT,EXCELLENT,NONE,1800,82,324,LG10251903,5.43,5.46,3.43,63,57,TN-MD,NONE,MISC,LAB CREATED,5.43x5.46x3.43,https://s3.amazonaws.com/lgdcertificates/LG10251903.pdf,
5000007067,ROUND,Light Brown,VVS2,0.63,GCAL,Very Good,Excellent,Excellent,NONE,0,0,230,252170031,5.48,5.49,3.41,62,56,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.48x5.49x3.41,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170031.pdf,https://s3.amazonaws.com/lgdvideos/252170031.html
5000006915,ROUND,Light Brown,VVS2,0.63,GCAL,Good,Excellent,Very Good,NONE,0,0,230,252170153,5.44,5.47,3.43,63,59,THIN - SL.THICK,NONE,MISC,LAB CREATED,5.44x5.47x3.43,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170153.pdf,https://s3.amazonaws.com/lgdvideos/252170153.html
5000007052,ROUND,Light Brown,VS1,0.63,GCAL,Good,Excellent,Excellent,NONE,0,0,230,252170038,5.39,5.41,3.47,64,57,THIN - SL.THICK,NONE,MISC,LAB CREATED,5.39x5.41x3.47,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170038.pdf,https://s3.amazonaws.com/lgdvideos/252170038.html
2000081962,ROUND,F,SI1,0.64,IGI,Excellent,Excellent,Excellent,NONE,3200,82,576,LG464197308,5.53,5.56,3.44,62,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,5.53x5.56x3.44,https://s3.amazonaws.com/lgdcertificates/LG464197308.pdf,https://s3.amazonaws.com/lgdvideos/LG464197308.html
6100260839,ROUND,H,VVS2,0.64,IGI,IDEAL,VERY GOOD,VERY GOOD,NONE,3700,83,629,LG395952707,5.61,5.63,3.37,60.1,59,Medium (Faceted),Pointed,MISC,LAB CREATED,5.61x5.63x3.37,https://s3.amazonaws.com/lgdcertificates/LG395952707.pdf,https://s3.amazonaws.com/lgdvideos/LG395952707.html
4000317902,ROUND,H,I2,0.64,GCAL,EXCELLENT,EXCELLENT,VERY GOOD,NONE,1100,79.25,228.25,262560102,5.54,5.56,3.39,61,59,MD,NONE,MISC,LAB CREATED,5.54x5.56x3.39,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL262560102.pdf,
9000074755,ROUND,H,I2,0.64,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,1100,80,220,270090022,5.64,5.67,3.34,59,59,TNMD,NONE,MISC,LAB CREATED,5.64x5.67x3.34,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL270090022.pdf,
6100408932,ROUND,I,VVS1,0.64,IGI,Excellent,Excellent,Excellent,NONE,3200,83,544,LG464197044,5.53,5.57,3.4,61.4,59.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.53x5.57x3.4,https://s3.amazonaws.com/lgdcertificates/LG464197044.pdf,https://s3.amazonaws.com/lgdvideos/LG464197044.html
6100211693,ROUND,I,VVS2,0.64,IGI,Ideal,Excellent,Very Good,NONE,3100,83,527,LG464196995,5.55,5.58,3.42,61.5,57,Medium (Faceted),Pointed,MISC,LAB CREATED,5.55x5.58x3.42,https://s3.amazonaws.com/lgdcertificates/LG464196995.pdf,https://s3.amazonaws.com/lgdvideos/LG464196995.html
9000362554,ROUND,J,VS1,0.64,IGI,IDEAL,EXCELLENT,EXCELLENT,NONE,2500,83,425,LG332808272,5.5,5.54,3.43,62.1,57,MDFC,POINTED,MISC,LAB CREATED,5.50x5.54x3.43,https://s3.amazonaws.com/lgdcertificates/LG332808272.pdf,
5000006914,ROUND,Light Brown,VVS1,0.64,GCAL,Good,Excellent,Excellent,NONE,0,0,230,252170154,5.44,5.46,3.46,64,57,THIN - SL.THICK,NONE,MISC,LAB CREATED,5.44x5.46x3.46,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170154.pdf,https://s3.amazonaws.com/lgdvideos/252170154.html
5000007055,ROUND,Light Brown,VVS2,0.64,GCAL,Good,Very Good,Excellent,NONE,0,0,230,252170040,5.49,5.5,3.46,63,57,THIN - SL.THICK,NONE,MISC,LAB CREATED,5.49x5.5x3.46,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170040.pdf,https://s3.amazonaws.com/lgdvideos/252170040.html
5000006917,ROUND,Light Brown,VVS2,0.64,GCAL,Very Good,Excellent,Excellent,NONE,0,0,230,252170158,5.48,5.5,3.44,63,56,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.48x5.5x3.44,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170158.pdf,https://s3.amazonaws.com/lgdvideos/252170158.html
5000007410,ROUND,Light Brown,VS1,0.64,GCAL,Good,Very Good,Excellent,NONE,0,0,230,252170018,5,5,3,63,58,THIN - SL.THICK,NONE,MISC,LAB CREATED,5x5x3,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170018.pdf,https://s3.amazonaws.com/lgdvideos/252170018.html
5000007411,ROUND,Light Brown,VS1,0.64,GCAL,Good,Excellent,Excellent,NONE,0,0,230,252170019,5,5,3,63,57,MEDIUM - SL.THICK,NONE,MISC,LAB CREATED,5x5x3,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170019.pdf,https://s3.amazonaws.com/lgdvideos/252170019.html
5000007066,ROUND,Light Brown,VS1,0.64,GCAL,Very Good,Excellent,Excellent,NONE,0,0,230,252170030,5.51,5.55,3.43,62,55,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.51x5.55x3.43,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170030.pdf,https://s3.amazonaws.com/lgdvideos/252170030.html
5000007054,ROUND,Light Brown,VS1,0.64,GCAL,Good,Excellent,Very Good,NONE,0,0,230,252170041,5.44,5.49,3.5,64,56,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.44x5.49x3.5,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170041.pdf,https://s3.amazonaws.com/lgdvideos/252170041.html
5000007062,ROUND,Light Brown,VS1,0.64,GCAL,Good,Excellent,Excellent,NONE,0,0,230,252170046,5.48,5.49,3.48,63,57,THIN - THICK,NONE,MISC,LAB CREATED,5.48x5.49x3.48,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170046.pdf,https://s3.amazonaws.com/lgdvideos/252170046.html
9000102716,ROUND,F,I2,0.65,GCAL,EXCELLENT,EXCELLENT,EXCELLENT,NONE,1300,79,273,271360067,5.52,5.55,3.43,62,61,MDSTK,NONE,MISC,LAB CREATED,5.52x5.55x3.43,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL271360067.pdf,
2000074669,ROUND,G,SI2,0.65,IGI,Ideal,Excellent,Excellent,NONE,2500,82,450,LG464197096,5.65,5.69,3.4,60,58.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,5.65x5.69x3.4,https://s3.amazonaws.com/lgdcertificates/LG464197096.pdf,https://s3.amazonaws.com/lgdvideos/LG464197096.html
6100211602,ROUND,J,VVS2,0.65,IGI,Ideal,Excellent,Excellent,NONE,2600,83,442,LG432021651,5.52,5.55,3.46,62.5,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,5.52x5.55x3.46,https://s3.amazonaws.com/lgdcertificates/LG432021651.pdf,https://s3.amazonaws.com/lgdvideos/LG432021651.html
4000316936,ROUND,J,I2,0.65,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,1000,80,200,262240024,5.51,5.54,3.45,62.3,60,MDSTK,NONE,MISC,LAB CREATED,5.51x5.54x3.45,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL262240024.pdf,
9000055864,ROUND,K,I2,0.65,GCAL,VERY GOOD,VERY GOOD,VERY GOOD,NONE,900,79,189,263070335,5.49,5.53,3.48,63.1,58,TNMD,NONE,MISC,LAB CREATED,5.49x5.53x3.48,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL263070335.pdf,
5000007063,ROUND,Light Brown,VS1,0.65,GCAL,Good,Very Good,Excellent,NONE,0,0,230,252170047,5.5,5.52,3.48,63,57,MEDIUM - SL.THICK,NONE,MISC,LAB CREATED,5.5x5.52x3.48,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170047.pdf,https://s3.amazonaws.com/lgdvideos/252170047.html
5000006916,ROUND,Light Brown,VS1,0.65,GCAL,Good,Very Good,Excellent,NONE,0,0,230,252170157,5.52,5.54,3.48,63,56,THIN - MEDIUM,NONE,MISC,LAB CREATED,5.52x5.54x3.48,https://s3.amazonaws.com/lgdcertificates/gcal/GCAL252170157.pdf,https://s3.amazonaws.com/lgdvideos/252170157.html
